quando               | quem        | balcao      | o_que                |   canal_criado/usado 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9836 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9834 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9860 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9841 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9847 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9846 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9867 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9876 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9877 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9890 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9840 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9845 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9891 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9848 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9813 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9814 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9815 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9843 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9869 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9888 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9844 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9903 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9880 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9879 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9866 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9854 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9875 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9901 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9907 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9923 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9882 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9899 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9898 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9930 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9902 
